,40.0,60.0,20.0,80.0
2019-07-01,705.4445405749157,575.9930554135419,997.6492367831048,498.82461839154956
2019-07-02,696.5646129431623,568.7426248633299,985.0911226933874,492.5455613466902
2019-07-03,694.8047593270331,567.3057104028011,982.6023138416211,491.3011569208069
2019-07-04,715.7409900907035,584.4000712388753,1012.210615332619,506.1053076663075
2019-07-05,730.2970133236522,596.285014440479,1032.795940802872,516.3979704014338
2019-07-06,743.3168792997916,606.9156904941304,1051.2088118466083,525.6044059233012
2019-07-07,733.0600244034181,598.5410035401723,1036.7034285448642,518.3517142724296
2019-07-08,715.0970579287268,583.8743028302722,1011.2999577359037,505.64997886794987
2019-07-09,699.2934024138351,570.9706721362056,988.9502137716738,494.47510688583367
2019-07-10,694.4878928529457,567.0469900101398,982.1541969765772,491.0770984882849
2019-07-11,720.8514482164818,588.5727428255465,1019.437894524034,509.718947262015
2019-07-12,735.5706294105731,600.5909039445736,1040.2539601957446,520.1269800978698
2019-07-13,741.4040914231709,605.35390573283,1048.5037212895484,524.2518606447716
2019-07-14,742.0035564116639,605.8433668463205,1049.351492806443,524.6757464032187
2019-07-15,717.4991232569032,585.8355809578927,1014.6969911007164,507.3484955503563
2019-07-16,697.720572416435,569.686461820948,986.7258962580436,493.3629481290183
2019-07-17,700.1986985714715,571.7098433536429,990.2304958757676,495.1152479378806
2019-07-18,715.4043740090827,584.1252253591467,1011.7345683046782,505.8672841523371
2019-07-19,735.0995593748539,600.206276871032,1039.587766562403,519.793883281199
2019-07-20,748.4304395008854,611.0908949146897,1058.4404780350062,529.2202390175
2019-07-21,737.7706187316664,602.3871877033234,1043.3652149307106,521.6826074653527
2019-07-22,724.5209242697861,591.5688574768647,1024.62731732542,512.313658662708
2019-07-23,704.1200727341051,574.9116319499713,995.7761563997035,497.8880781998488
2019-07-24,698.8199144374724,570.5840708223952,988.2806006538813,494.14030032693734
2019-07-25,713.8832860832764,582.8832622684358,1009.5834251304412,504.7917125652185
2019-07-26,741.6681202275504,605.5694843488722,1048.877114405559,524.4385572027768
2019-07-27,750.2631323060929,612.5872823240317,1061.0322970557938,530.5161485278938
2019-07-28,739.1987181480093,603.5532259939918,1045.3848524937198,522.6924262468572
2019-07-29,720.4940324903182,588.2809141071642,1018.9324323566881,509.46621617834205
2019-07-30,691.0586621893249,564.2470348967524,977.3045283717782,488.65226619392996
2019-07-31,707.0197854184653,577.279237442424,999.876969404911,499.9384847024528
2019-08-01,717.1228474891501,585.5283530800363,1014.1648568067676,507.08242840338187
2019-08-02,742.4026059731249,606.1691894488738,1049.91583410832,524.9579170541573
2019-08-03,752.0536731537571,614.0492528041601,1063.5645042065437,531.7822521032687
2019-08-04,734.8134928081543,599.9727044974036,1039.1832073440346,519.5916036720148
2019-08-05,718.5727014858254,586.7121539111657,1016.2152599923265,508.10762999616134
2019-08-06,699.8275005996159,571.4067614787755,989.705542669644,494.85277133481884
2019-08-07,695.030606429433,567.4901137897459,982.9217098768974,491.4608549384451
2019-08-08,718.613170750475,586.7451969273849,1016.2724921752534,508.1362460876247
2019-08-09,744.6778228239007,608.0268962284002,1053.133476636027,526.5667383180106
2019-08-10,753.785156016352,615.4630026414038,1066.0131907538419,533.0065953769176
2019-08-11,743.3919089930542,606.9769519821474,1051.3149198564008,525.6574599281976
2019-08-12,729.1956861470284,595.3857845662832,1031.2384289730808,515.6192144865381
2019-08-13,703.9168312301998,574.7456859569301,995.4887295084436,497.74436475421885
2019-08-14,713.102724614153,582.2459364976928,1008.4795445145414,504.2397722572685
2019-08-15,726.6897084679682,593.3396623594499,1027.69444135235,513.8472206761728
2019-08-16,735.463762913739,600.5036478152931,1040.1028281465587,520.0514140732768
2019-08-17,753.8337405882816,615.5026717782705,1066.0818997143867,533.0409498571901
2019-08-18,748.7455871535171,611.3482118955505,1058.8861641195078,529.443082059751
2019-08-19,721.7745438038928,589.3264472165368,1020.7433488231176,510.37167441155674
2019-08-20,706.4891447234927,576.8459711292779,999.1265301373337,499.5632650686641
2019-08-21,704.4417001205289,575.1742396113191,996.2310062116147,498.11550310580446
2019-08-22,726.576016281733,593.2468330781107,1027.5336563206404,513.7668281603179
2019-08-23,745.6199373491546,608.7961295171124,1054.4658277749497,527.2329138874719
2019-08-24,763.5408936867601,623.4285290937158,1079.8098872782866,539.9049436391396
2019-08-25,749.6818022118725,612.112628289711,1060.210172152332,530.1050860761629
2019-08-26,729.0965003180074,595.3047996760112,1031.0981590284844,515.5490795142399
2019-08-27,716.895479274054,585.3427077097988,1013.843309593326,506.9216547966611
2019-08-28,717.3125054380968,585.6832081468971,1014.43307365038,507.2165368251881
2019-08-29,725.5694641898024,592.4249867365239,1026.1101767009968,513.0550883504962
2019-08-30,758.577134650165,619.3756368117865,1072.790071928382,536.3950359641876
2019-08-31,758.5586889376208,619.3605759505625,1072.7639857515344,536.3819928757637
2019-09-01,752.6430050990617,614.530440322533,1064.3979454363334,532.1989727181634
2019-09-02,726.6064276634388,593.2716638672947,1027.576664509099,513.7883322545472
2019-09-03,717.8270925647514,586.1033667763998,1015.1608097439174,507.5804048719568
2019-09-04,714.2209206862523,583.1589397673683,1010.060912565096,505.03045628254597
2019-09-05,733.9146990601822,599.2388424752259,1037.9121210358767,518.956060517936
2019-09-06,756.7101447035607,617.8512459037604,1070.14974942508,535.0748747125367
2019-09-07,760.6929416227042,621.1031859707696,1075.7822748443105,537.8911374221516
2019-09-08,763.4324369567206,623.3399745444588,1079.6565062997342,539.8282531498634
2019-09-09,744.3125229796408,607.7286301545496,1052.6168646419421,526.3084323209681
2019-09-10,724.5762004307724,591.6139902733169,1024.705489621963,512.3527448109794
2019-09-11,705.9007918212552,576.3655829962221,998.2944734835277,499.14723674176105
2019-09-12,732.2190193288703,597.8543257722615,1035.5140677624142,517.7570338812047
2019-09-13,758.8643800080425,619.6101716643838,1073.1962982092214,536.5981491046072
2019-09-14,766.6785981018917,625.9904540206313,1084.2472714168837,542.123635708438
2019-09-15,761.7400278566037,621.9581283006866,1077.2630783972652,538.6315391986291
2019-09-16,738.9625551711836,603.3603997308721,1045.0508676089626,522.5254338044787
2019-09-17,713.4241419962935,582.5083726912611,1008.9340973355468,504.4670486677713
2019-09-18,713.5829019851313,582.6379996793353,1009.1586178649233,504.5793089324595
2019-09-19,729.9904443414092,596.0347019146591,1032.3623867903814,516.1811933951883
2019-09-20,751.1695339888475,613.3273561989479,1062.3141426085035,531.1570713042486
2019-09-21,754.139528594916,615.7523466401747,1066.51434926058,533.2571746302868
2019-09-22,758.529549892328,619.336784019712,1072.722776918487,536.36138845924
2019-09-23,742.8250999924717,606.5141543711325,1050.5133308805018,525.2566654402481
2019-09-24,716.475922501977,585.0001410398929,1013.2499667160695,506.62498335803286
2019-09-25,719.3345260580312,587.3341810696384,1017.2926426344889,508.64632131724255
2019-09-26,748.0393302029734,610.7715555101756,1057.8873659615285,528.9436829807613
2019-09-27,753.3797331224697,615.1319762347193,1065.439836198817,532.7199180994053
2019-09-28,767.9583010468913,627.0353270998263,1086.0570446775107,543.0285223387514
2019-09-29,755.89167082234,617.1829647781665,1068.9922525618097,534.4961262809015
